
2024/10/24 (01:31:59) | ===> btop++ v.1.4.0
2024/10/24 (01:31:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (01:35:21) | ===> btop++ v.1.4.0
2024/10/24 (01:35:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (02:10:51) | ===> btop++ v.1.4.0
2024/10/24 (02:10:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (02:11:11) | ===> btop++ v.1.4.0
2024/10/24 (02:11:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (02:11:42) | ===> btop++ v.1.4.0
2024/10/24 (02:11:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (14:44:28) | ===> btop++ v.1.4.0
2024/11/09 (14:44:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (11:30:14) | ===> btop++ v.1.4.0
2024/12/02 (11:30:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (11:33:16) | ===> btop++ v.1.4.0
2024/12/02 (11:33:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (11:53:57) | ===> btop++ v.1.4.0
2024/12/25 (11:53:57) | WARNING: Intel GPU: Failed to initialize PMU
