acl 2.3.2-1
alsa-lib 1.2.13-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
archlinux-keyring 20250123-1
attr 2.5.2-1
audit 4.0.3-1
autoconf 2.72-1
automake 1.17-1
base 3-2
base-devel 1-2
bash 5.2.037-2
binutils 2.44-1
bison 3.8.2-8
bluetui 0.6-1
bluez 5.80-1
brotli 1.1.0-3
btrfs-progs 6.13-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.109-1
ca-certificates-utils 20240618-1
containerd 2.0.4-1
coreutils 9.6-4
cryptsetup 2.7.5-2
curl 8.12.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-units 36-4
debugedit 5.1-1
device-mapper 2.03.31-1
diffutils 3.11-2
docker 1:28.0.1-1
duktape 2.7.0-7
e2fsprogs 1.47.2-1
efibootmgr 18-3
efivar 39-1
ell 0.74-1
expat 2.7.0-1
fakeroot 1.37.1-1
file 5.46-3
filesystem 2024.11.21-1
findutils 4.10.0-2
flex 2.6.4-5
fzf 0.60.3-1
gawk 5.3.1-2
gc 8.2.8-2
gcc 14.2.1+r753+g1cd744a6828f-1
gcc-libs 14.2.1+r753+g1cd744a6828f-1
gdbm 1.24-2
gettext 0.24-1
git 2.49.0-1
glib2 2.84.0-1
glibc 2.41+r9+ga900dbaf70f0-1
gmp 6.3.0-2
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnutls 3.8.9-1
go 2:1.24.1-1
gpgme 1.24.2-1
gpm 1.20.7.r38.ge82d1a6-6
grep 3.11-1
groff 1.23.0-7
grub 2:2.12.r226.g56ccc5ed-1
guile 3.0.10-1
gzip 1.13-4
hwdata 0.393-1
iana-etc 20250213-1
icu 76.1-1
intel-ucode 20250211-1
iproute2 6.13.0-1
iptables 1:1.8.11-1
iputils 20240905-1
iwd 3.4-1
jansson 2.14-4
json-c 0.18-1
kbd 2.7.1-2
keyutils 1.6.3-3
kmod 34.1-1
